id,name,desc,type,clazz,rarity,cost,combo,price,level,exp,bHp,bAtk,bRcv,mHp,mAtk,mRcv,specName,specDesc,capName,capDesc
132,Striker Group Cabin Boy Blue Pirates,"Pirate new recruit. Moves quickly, but can't use his weapon very well.",3,3,1,1,6,50,10,2330,79,45,13,281,105,30,[DEX] Slot Change [QCK],Changes [DEX] slot to [QCK] slot,None,None
153,Striker Group Crew Blue Pirates,Pirate fighter. Thinks a spear is better than a sword because of its superior reach.,3,3,2,5,5,100,25,33626,190,74,22,483,309,73,[DEX] Slot Change [QCK],Changes [DEX] slot to [QCK] slot,None,None
138,Shooter Group Cabin Boy Green Pirates,"Pirate new recruit. Neglects his chores, but always keeps his pistol clean.",2,4,1,3,6,50,10,2330,37,15,26,123,51,81,[DEX] Slot Change [RCV],Changes [DEX] slot to [RCV] slot,None,None
159,Shooter Group Crew Green Pirates,Pirate fighter. Confident that he can handle any type of gun.,2,4,2,7,5,100,30,57558,65,19,63,281,113,205,[DEX] Slot Change [RCV],Changes [DEX] slot to [RCV] slot,None,None
237,Knuckle Millions Baroque Works,An agent for the shadowy Baroque Works organization. He works below the Frontier Agents. Joined the group on a whim before realizing how harsh the punishments were for messing up a job.,1,1,2,5,6,100,25,33626,185,89,21,532,352,50,[DEX] Slot Change [STR],Changes [DEX] slots to [STR],None,None
242,Knuckle Billions Baroque Works,An agent for the shadowy Baroque Works organization. He works below the Officer Agents. A potential future Frontier Agent candidate.,1,1,3,9,5,150,50,261406,466,301,32,850,580,85,[DEX] Slot Change [STR],Changes [DEX] slots to [STR],None,None
163,"Bodyguard, 'Sunglasses'","Bodyguard who protects Kaya's mansion. He always wears sunglasses. During the execution of Captain Kuro's plan, he took a leave of absence from the mansion.",2,4,1,4,5,50,20,8728,115,50,30,370,180,90,[DEX] Slot Change [TND],Changes [DEX] slot to [TND] slot,None,None
129,Slasher Group Cabin Boy Yellow Pirates,Pirate new recruit. Concentrates on mental training rather than combat.,4,2,1,3,6,50,15,7532,63,38,14,325,114,35,[INT] Slot Change [PSY],Changes [INT] slot to [PSY] slot,None,None
150,Slasher Group Crew Yellow Pirates,Pirate fighter. He secretly names his best combat moves but has never told anyone out of shame.,4,2,2,7,5,100,35,90778,152,73,29,629,369,94,[INT] Slot Change [PSY],Changes [INT] slot to [PSY] slot,None,None
59,Nezumi,Captain of the Navy's 16th Branch. He was taking bribes from Arlong and tried to steal the money Nami was saving.,5,4,2,6,6,50,30,28779,55,55,55,150,130,204,[PSY] Slot Change [INT],Changes [PSY] slot to [INT] slot,Subsistence Skill,INT type characters' ATK x 1.2
139,Shooter Group Cabin Boy Yellow Pirates,Pirate new recruit. Hopes to become a cold-blooded sniper.,4,4,1,3,6,50,10,2330,35,13,27,107,47,85,[PSY] Slot Change [RCV],Changes [PSY] slot to [RCV] slot,None,None
160,Shooter Group Crew Yellow Pirates,Pirate fighter. He's got a steady trigger finger even in the middle of battle.,4,4,2,7,5,100,30,57558,55,15,66,227,98,219,[PSY] Slot Change [RCV],Changes [PSY] slot to [RCV] slot,None,None
128,Slasher Group Cabin Boy Green Pirates,Pirate new recruit. He's great at visualizing and combat theory for battles.,2,2,1,3,6,50,15,7532,69,44,11,341,115,33,[QCK] Slot Change [DEX],Changes [QCK] slot to [DEX] slot,None,None
133,Striker Group Cabin Boy Green Pirates,"Pirate new recruit. Honed his skills fighting fish, but they don't seem to work well on humans.",2,3,1,1,6,50,10,2330,73,45,14,255,103,35,[QCK] Slot Change [DEX],Changes [QCK] slot to [DEX] slot,None,None
149,Slasher Group Crew Green Pirates,Pirate fighter. Did some cooking in the galley and now his knife skills are top class.,2,2,2,7,5,100,35,90778,162,83,24,665,375,86,[QCK] Slot Change [DEX],Changes [QCK] slot to [DEX] slot,None,None
154,Striker Group Crew Green Pirates,Pirate fighter. Has the ability to spin his spear around. ,2,3,2,5,5,100,25,33626,176,75,24,429,318,79,[QCK] Slot Change [DEX],Changes [QCK] slot to [DEX] slot,None,None
241,Bazooka Millions Baroque Works,An agent for the shadowy Baroque Works organization. He works below the Frontier Agents. Only recently learned about the group's generous company travel program.,5,4,2,5,4,100,25,33626,203,113,10,640,388,20,[QCK] Slot Change [INT],Changes [QCK] slots to [INT],None,None
246,Bazooka Billions Baroque Works,"An agent for the shadowy Baroque Works organization. He works below the Officer Agents. Works hard for the group, hoping to become a numbered agent and team up with a cute female partner.",5,4,3,9,4,150,50,261406,550,319,12,1020,655,32,[QCK] Slot Change [INT],Changes [QCK] slots to [INT],None,None
134,Striker Group Cabin Boy Yellow Pirates,"Pirate new recruit. He's got the will to fight, but not the skill.",4,3,1,1,6,50,10,2330,67,42,16,253,101,36,[QCK] Slot Change [RCV],Changes [QCK] slot to [RCV] slot,None,None
155,Striker Group Crew Yellow Pirates,"Pirate fighter. Thinks he's discovered the power of his ""Third Eye"".",4,3,2,5,5,100,25,33626,182,69,25,439,289,87,[QCK] Slot Change [RCV],Changes [QCK] slot to [RCV] slot,None,None
179,Knuckle Apprentice Navy,Navy Seaman Apprentice. He's really into weight training.,1,1,1,3,6,50,15,7532,105,66,6,317,203,17,[QCK] Slot Change [STR],Changes [QCK] slot to [STR] slot,None,None
184,Knuckle Seaman Navy,"Navy Seaman. Good at boxing, so he uses brass knuckles. Can't sleep if he misses his weight training.",1,1,2,5,5,100,25,33626,139,96,17,523,289,43,[QCK] Slot Change [STR],Changes [QCK] slot to [STR] slot,None,None
194,Knuckle Ensign Navy HQ,"Navy HQ ensign. He wears a white coat with ""Justice"" written on the back. Naturally, he wears it without putting his arms through the sleeves.",1,1,3,9,6,200,50,392109,474,237,30,898,490,107,[QCK] Slot Change [STR],Changes [QCK] slot to [STR] slot,Power of Justice,STR type characters' ATK x 1.5
164,Bearded Bodyguard,"Bearded bodyguard of Kaya's mansion. If anything happens inside the mansion, he comes running. When Usopp came with news about Kuro's plans, he tried to throw him out.",3,4,1,4,5,50,20,8728,105,70,25,370,210,80,[QCK] Slot Change [TND],Changes [QCK] slot to [TND] slot,None,None
183,Cannoneer Apprentice Navy,"Navy Seaman Apprentice. The recoil almost knocks him down, so he's self-conscious of his superior officer's gaze.",5,4,1,5,5,50,25,33626,93,90,0,400,350,1,[RCV] Slot Change [INT],Changes [RCV] slot to [INT] slot,None,None
188,Cannoneer Seaman Navy,Navy Seaman. The cannon callus on his fingers are his mark of pride. ,5,4,2,10,5,100,40,134812,143,140,1,620,660,2,[RCV] Slot Change [INT],Changes [RCV] slot to [INT] slot,None,None
198,Bazooka Ensign Navy HQ,"Navy HQ ensign. He wears a white coat with ""Justice"" written on the back. He's proud to have reached the class of ""Navy Major"". ",5,4,3,12,5,200,70,1066998,480,460,1,1300,850,3,[RCV] Slot Change [INT],Changes [RCV] slot to [INT] slot,Wisdom of Justice,Shooter-class characters' ATK x 1.5
131,Striker Group Cabin Boy Red Pirates,"Pirate new recruit. In combat, all he does is swing his weapon as hard as he can.",1,3,1,1,6,50,10,2330,77,49,12,281,114,27,[RCV] Slot Change [STR],Changes [RCV] slot to [STR] slot,None,None
152,Striker Group Crew Red Pirates,Pirate fighter. Thinks mowing down enemies in a melee is better than one-on-one combat.,1,3,2,5,5,100,25,33626,174,85,21,473,320,71,[RCV] Slot Change [STR],Changes [RCV] slot to [STR] slot,None,None
40,Gaimon,"Guardian of an island filled with strange animals. A former pirate, he tumbled down from a cliff into an empty treasure chest and got stuck in it. He dreamt for years of opening the treasure chest but there was nothing in it. ",4,4,2,3,6,100,50,261406,133,5,14,1303,85,121,[RCV] Slot Storm,Changes neighboring character's slot to [RCV] slot,Treasure Chest Body,Damage from Shooter-class characters reduced by 30%
48,Johnny,"Once a pirate-hunting bounty hunter along with Zoro. He's Yosaku's friend and, though he stands up to strong foes, always seems to lose by a hair.",3,2,2,7,6,100,40,134812,100,42,20,421,421,108,[RCV] Slot Storm,Changes neighboring character's slot to [RCV] slot,None,None
123,Fighter Group Cabin Boy Green Pirates,"Pirate new recruit. Trained in hand-to-hand combat, but has no actual experience.",2,1,1,2,6,50,10,2330,85,54,5,357,138,13,[STR] Slot Change [DEX],Changes [STR] slot to [DEX] slot,None,None
144,Fighter Group Crew Green Pirates,Pirate fighter. Confident that his rope work is the best amongst the crew.,2,1,2,6,5,100,30,57558,212,100,9,717,417,31,[STR] Slot Change [DEX],Changes [STR] slot to [DEX] slot,None,None
240,Pistol Millions Baroque Works,"An agent for the shadowy Baroque Works organization. He works below the Frontier Agents. Due to strict confidentiality rules, he can't even chat up the lady that caught his eye the other day.",4,4,2,5,6,100,25,33626,159,51,40,476,224,102,[STR] Slot Change [PSY],Changes [STR] slots to [PSY],None,None
245,Pistol Billions Baroque Works,An agent for the shadowy Baroque Works organization. He works below the Officer Agents. A big fan of the group's wing-and-rapier flag.,4,4,3,9,5,150,50,261406,402,187,82,698,400,172,[STR] Slot Change [PSY],Changes [STR] slots to [PSY],None,None
181,Halberd Apprentice Navy,Navy Seaman Apprentice. Secretly made a mark on the handle of his weapon to show him where to hold it.,3,3,1,3,6,50,15,7532,73,70,10,305,158,34,[STR] Slot Change [QCK],Changes [STR] slot to [QCK] slot,None,None
186,Halberd Seaman Navy,"Navy Seaman. Highly skilled with a spear, he spends his free time training alone on the deck.",3,3,2,5,5,100,25,33626,105,92,24,407,290,62,[STR] Slot Change [QCK],Changes [STR] slot to [QCK] slot,None,None
196,Halberd Ensign Navy HQ,"Navy HQ ensign. He wears a white coat with ""Justice"" written on the back. He secretly tucks in the coat before battle so it doesn't get in the way. ",3,3,3,9,6,200,50,392109,400,220,48,916,442,120,[STR] Slot Change [QCK],Changes [STR] slot to [QCK] slot,Speed of Justice,QCK type characters' ATK x 1.5
238,Saber Millions Baroque Works,An agent for the shadowy Baroque Works organization. She works below the Frontier Agents. A card-carrying member of Miss Valentine's fan club.,2,2,2,5,6,100,25,33626,161,77,29,486,294,77,[TND] Slot Change [DEX],Changes [TND] slots to [DEX],None,None
243,Saber Billions Baroque Works,An agent for the shadowy Baroque Works organization. She works below the Officer Agents. Reckons herself stronger than the two-digit number agents by now.,2,2,3,9,5,150,50,261406,410,257,56,798,508,120,[TND] Slot Change [DEX],Changes [TND] slots to [DEX],None,None
239,Polearm Millions Baroque Works,"An agent for the shadowy Baroque Works organization. He works below the Frontier Agents. A former bounty hunter, he accepted an offer from the group so he could earn a more stable income.",3,3,2,5,6,100,25,33626,197,74,24,620,278,60,[TND] Slot Change [QCK],Changes [TND] slots to [QCK],None,None
244,Halberd Billions Baroque Works,An agent for the shadowy Baroque Works organization. He works below the Officer Agents. Saving up to afford his very own Devil Fruit.,3,3,3,9,5,150,50,261406,560,230,40,996,477,95,[TND] Slot Change [QCK],Changes [TND] slots to [QCK],None,None
47,Yosaku,Johnny's friend and bounty hunter. He was close to death from scurvy but was saved by Nami. He idolizes the Straw Hat crew as older brothers.,1,2,2,5,6,100,40,134812,100,43,19,439,439,99,[TND] Slot Change [RCV],Changes [TND] slot to [RCV] slot,None,None
60,Momoo,Arlong Pirates Combat Monster. A sea monster from the Grand Line. Beaten by Luffy and Sanji near Arlong Park.,1,1,3,18,4,200,50,392109,600,400,120,1000,500,150,[TND] Slot Change [STR],Changes [TND] slot to [STR] slot,Neptunian Might,STR type characters' ATK x 1.5
60,Momoo,Arlong Pirates Combat Monster. A sea monster from the Grand Line. Beaten by Luffy and Sanji near Arlong Park.,1,1,3,18,4,200,50,392109,600,400,120,1000,500,150,[TND] Slot Change [STR],Changes [TND] slot to [STR] slot,Neptunian Might,STR type characters' ATK x 1.5
202,"Miss Valentine 10,000 Kilo Guillotine","Baroque Works agent. Kilo-Kilo Fruit user and friend of Mr. 5. She can change her weight at will. After the Whiskey Peak failure, she chases Vivi to Little Garden.",3,1,4,15,5,200,70,1066998,804,426,104,1324,787,198,"10,000 Kill-O-Guillotine",Changes [RCV] slot to [QCK] slot,"10,000 Kilo Body",Fighter-class characters' HP x 2
7,Roronoa Zoro Pound Phoenix,"Three-Sword Style swordsman and member of the Straw Hat Pirates. He uses a powerful sword technique called 36 Pound Phoenix. Once he goes to sleep, even a typhoon won't wake him.",2,2,4,9,4,200,50,392109,462,258,37,1216,694,106,108 Pound Phoenix,10x character's ATK in DEX damage to all enemies,Unrelenting Swordsman,DEX type characters' ATK x 1.5
8,Roronoa Zoro Ashura Ichibugin,"Three-Sword Style swordsman and member of the Straw Hat Pirates. He can use a frighteningly powerful technique called ""Demon Aura Nine-Sword Style Ashura"". He understands the ""Breath of All Things"" and can cut through iron. ",2,2,5,15,9,200,99,3000000,724,667,39,2232,1332,144,Ashura Ichibugin,15x character's ATK in DEX damage to all enemies,Three-Faced Six-Armed Swordsman,DEX type characters' ATK and HP x 2
256,Izo,"16th division commander of the Whitebeard Pirates. The Whitebeard Pirates have 1600 men and 16 divisions, and he commands one of them. Dresses like a woman, with a kimono and Kabuki-style hair.",2,4,4,18,4,500,50,392109,232,130,50,1300,634,172,Beautiful Dual Flintlocks,Changes STR and QCK slots to DEX slots,Resolute Young Crossdresser,Doubles DEX character ATK and RCV
257,Flintlock Pistols Izo,16th division commander of the Whitebeard Pirates. Fights using two flintlock pistols. Izo also upholds the crew's one iron clad rule of never killing their allies.,2,4,5,28,5,1000,99,4000000,1224,585,136,2550,1068,319,Beautiful Dual Flintlocks,Changes STR and QCK slots to DEX slots,Resolute Young Crossdresser,Doubles DEX character ATK and RCV
226,Dracule Mihawk,"One of the Royal Seven Warlords of the Sea, fabled to be the best swordsman in the world. Once routed a 5000-man- strong force all by himself. He has high hopes for Zoro and told him to strive to take his place as world’s greatest swordsman.",2,2,4,30,4,500,70,1066998,324,201,1,1998,814,7,Black Blade Ship Cutter,Cut all foes' HP by 30%,Short Sword Strike,Boosts ATK of Slasher characters 2x
227,Hawk Eyes Mihawk,"One of the Royal Seven Warlords of the Sea, fabled to be the best swordsman in the world. Travels the world on his small Coffin Boat with the all-powerful black blade ""Night"" on his back. Shanks was his rivals until he lost his left arm.",2,2,5,50,4,1000,99,5000000,1916,782,5,3760,1285,15,Black Blade Ship Cutter,Cut all foes' HP by 30%,Black Blade Strike,Boosts ATK of Slasher characters 2.5x
250,Marco,"1st division commander of the Whitebeard Pirates. A member of the Whitebeard Pirates for over 20 years, he feels an obligation to whitebeard. Trusted implicitly by Whitebeard and the rest of the crew, he acts as a second in command.",4,1,4,18,6,500,50,392109,172,125,64,1030,676,220,Blue Flame Rebirth,Recovers all HP,Phoneix Aura,Triples PSY character ATK if HP is full before attacking
251,Marco the Phoenix,"1st division commander of the Whitebeard Pirates. Also known as ""Marco the Phoenix."" Endowed with the powers of a Devil Fruit, he is able to transform into a phoenix. In his phoenix form, he can withstand any attack and regenerate any wounds.",4,1,5,28,4,1000,99,4000000,951,618,180,2258,1100,390,Blue Flame Rebirth,Recovers all HP,Phoneix Aura,Triples PSY character ATK if HP is full before attacking
208,Mr. 2 Bon Clay Bombardier Arabesque,"Baroque Works officer agent. Clone-Clone Fruit user. He wears clothes that say ""Man"" on the back, but he speaks in a feminine manner. He uses a style of fighting called ""Oh Come My Way Karate"".",4,1,4,15,4,200,70,1066998,599,348,169,935,709,302,Bombardier Arabesque,Changes [RCV] slot to [PSY] slot,Oh Come My Way Karate Master,PSY ATK to character reduced by 20%
200,Mr. 5 Breeze Breath Bomb,Baroque Works officer agent. User of Bomb-Bomb Fruit. He can shoot rapid fire with his flintlock .44 caliber 6 shot revolver and the bullets are invisible.?,1,4,4,15,5,200,70,1066998,688,520,92,1120,943,180,Breeze Breath Bomb,20x character's ATK in STR damage to one enemy,Full Body Explosive,STR type characters' ATK x 2
252,Jozu,3rd division commander of the Whitebeard Pirates. Endowed with Devil Fruit powers that enable him to turn his body into diamond. Attacks with superhuman power and speed. Uses Armament Haki.,3,1,4,18,4,500,50,392109,412,109,27,1820,596,98,Brilliant Punk,Nullifies DEX type attacks for 1 turn,Diamond Arms,Doubles QCK character ATK and HP
253,Diamond Jozu,"3rd division commander of the Whitebeard Pirates. Also known as ""Diamond Jozu."" Endowed with Devil Fruit powers that enable him to turn his body into diamond. A member of the Whitebeard Pirates for over 20 years.",3,1,5,28,4,1000,99,4000000,1748,524,69,3300,987,231,Brilliant Punk,Nullifies DEX type attacks for 1 turn,Diamond Arms,Doubles QCK character ATK and HP
9,Nami,"Pirate and thief. An expert at meteorology and navigation, her favorite things are money and tangerines. She's despised pirates ever since some of them took over her hometown.",5,3,3,4,4,150,20,26184,72,51,32,366,201,89,Cat Burglar,Heals 1000 HP,Thieving Navigator,INT ATK to character reduced by 20%
41,Siam,"Black Cat Pirate and member of the ""Meowban Brothers"" along with his friend, Butchie. Their secret weapon is the ""Cat Snatch"" where he suddenly steals an opponent's weapon.",5,2,2,9,6,100,50,261406,112,112,24,724,499,133,Cat Snatch,Changes [RCV] slot to [INT] slot,Cat Disguise,INT type characters' RCV x 1.2
42,Butchie,"One-half of the Black Cat Pirates ""Meowban Brothers"". He is normally on guard with Siam. His special move, ""Cat-A-Pult Cat-Astrophe"" is strong enough to split the earth.",1,2,2,9,6,100,50,261406,132,117,19,872,530,98,Cat-A-Pult Cat-Astrophe,3x character's ATK in STR damage to all enemies,Super-Powered Cat,STR type characters' ATK x 1.2
57,Don Krieg,"Pirate Fleet admiral ""Don Krieg"". He'll do anything to win and refuses to accept criticism. After losing nearly his entire fleet of 5,000 ships, he fled from the Grand Line.",5,4,3,10,6,250,50,392109,214,97,24,1454,632,95,Chain Hammer,7x character's ATK in INT damage to one enemy,Wootz Steel Armor,ATK reduced by 10%
72,Nefertari Vivi,"Princess of Alabasta Kingdom. Sensing danger to her kingdom, she infiltrated Baroque Works. Her code name at the time was ""Miss Wednesday"".",4,2,4,13,5,500,70,1066998,138,102,183,682,454,350,Charge! Supersonic Duck Squadron!,Changes slot to random slot,Princess' Hope,RCV x 3 HP recovered after end of turn.
73,Princess Vivi,"Princess of Alabasta Kingdom. Along with the Straw Hat Pirates, she saves her homeland from Baroque Works' plot. Afterwards, she returns to her kingdom to fulfill her duties. ",4,2,5,20,6,1000,99,4000000,602,414,280,908,747,477,Charge! Supersonic Duck Squadron!,Changes slot to random slot,Princess' Love,"After turn, RCV x 5 healed in HP"
52,Chef Zeff,"Chef at the ocean-going restaurant, Baratie. With his peg leg, he can kick hard enough to drill a hole through the ship's deck. His cooking skills are top notch.",2,1,3,10,5,200,50,392109,142,118,29,908,698,164,Chef Drop,Changes [STR] slot to [DEX] slot,Peg Leg Kick,Fighter-class characters' ATK x 2.5
38,Buggy,"Captain of the Buggy Pirates. Chop-Chop Fruit user. He can split his body into pieces and make them fly through the air, but his legs stay on the ground.",5,2,3,8,5,20,35,136167,200,107,22,818,446,85,Chop-Chop Festival,Changes [RCV] slot to [INT] slot,Fight with Flair!,INT ATK x 1.5
39,Buggy the Clown,"Captain of the Buggy Pirates. His nickname is ""Buggy the Clown"". He gets angry when someone makes fun of his nose. He used to be on the same ship with Red-Haired Shanks.",5,2,4,11,5,300,70,1066998,714,342,58,1666,757,135,Chop-Chop Festival,Changes [RCV] slot to [INT] slot,Die with Flair!!,INT ATK x 2
210,Nico Robin,Straw Hat Pirates archaeologist. She uses the Flower-Flower Fruit and is able to sprout parts of her body anywhere. She's searching for the Poneglyph.,5,1,5,20,6,200,99,3000000,736,430,214,1865,1055,338,Cien Fleur,"For 1 turn, INT ATK x2",Clearheaded Archaeologist,INT type characters' RCV x 2
206,Miss Goldenweek Colors Trap: Calming Green,"Baroque Works agent. She can manipulate emotions using paint. In combat, her pet pterodactyl fights for her. She's friends with Mr. 3.",2,3,4,15,5,200,70,1066998,264,264,268,412,390,530,Colors Trap: Calming Green,"For 2 turns, halves all enemies' DEF",Realist Painter,DEX type characters' HP and RCV x 1.2
76,Shanks,"Red-Hair Pirates captain. He lets most things go with a laugh, but won't tolerate those that hurt his friends. He loses his left arm saving Luffy from the Master of the Near Sea.",4,2,4,13,5,500,70,1066998,186,159,46,1010,725,271,Conqueror's Haki,15x character's ATK in PSY damage to all enemies,Hidden Aura,PSY type characters' ATK x 2
77,Red-Haired Shanks,"Leader of the Red-Hair Pirates and one of the Four Emperors. As a young man, he was an apprentice with the Roger Pirates. He was rivals with Mihawk until he lost his left arm and their unsettled final duel is legendary.",4,2,5,20,4,1000,99,4000000,898,670,222,2118,990,417,Conqueror's Haki,15x character's ATK in PSY damage to all enemies,Four Emperor Aura,PSY type characters' ATK x 2.5
44,Dancing Django,"Black Cat former captain and hypnotist. Before he became a pirate, he wanted to become a dancer. He wins the dance competition on Mirrorball Island.",2,2,3,11,5,200,70,1066998,476,218,98,1155,555,228,Dance Heaven,Changes [RCV] slot to [DEX] slot,Dancing Hero,Damage taken reduced by 10%
45,Captain Kuro,"Butler who works for Kaya. His true identity is Captain Kuro, a pirate who was thought to have been executed by the Navy. He adjusts his glasses with his palms so as not to scratch them with his Cat Claws.",3,2,3,10,7,250,70,1066998,144,111,31,1102,640,151,Death Scoop,5x character's ATK in QCK damage to all enemies,Stealth,QCK type characters' ATK x 1.2
46,Kuro of a Hundred Plans,Black Cat Pirates captain. He hatches all sorts of plans that never fail. He was thought dead after being captured by the Navy three years ago.,3,2,4,15,8,300,99,3000000,978,558,122,2074,1057,282,Death Scoop,5x character's ATK in QCK damage to all enemies,Stealth (Kuro of a Hundred Plans),QCK type characters' ATK x 1.5
54,Gin the Man-Demon,"Krieg Pirates combat commander. He's called ""Man-Demon"" because of his lack of mercy. He was unable to kill Sanji, the first person to be nice to him. ",3,3,3,11,6,200,70,1066998,558,300,57,1152,792,209,Demonic Dance,7x character's ATK in QCK damage to one enemy,General Spirit,QCK ATK to character reduced by 50%
20,Sanji Diable Jambe Flambe,"Straw Hat Pirate chef and kick master. ""Black-Leg Sanji"". A gentleman among gentlemen who won't strike a woman even if his life is at stake.",3,1,5,15,4,200,99,3000000,406,418,175,2206,1030,249,Diable Jambe,Does 5000 damage to all enemies,Chivalrous Cook,QCK type characters' ATK and HP x 1.5
209,Miss All Sunday Baroque Works VP,"Vice President of Baroque Works and highest-level officer. Partner of the president, Mr. 0. Her actions are mysterious, pursuing Princess Vivi, but giving her an Eternal Pose near Alabasta.",5,1,4,15,6,100,50,392109,368,128,96,772,478,252,Dieciseis Fleur,"For 1 turn, INT ATK x1.5",Mysterious Archaeologist,INT type characters' RCV x 1.5
229,Double Crosser Django,"A master hypnotist and ex-captain of the Black Cat Pirates. Became friends with Fullbody during a dance competition on Mirrorball Island. After being arrested and subsequently saved by Fullbody, he joined the Navy. ",4,2,3,11,5,300,70,1066998,446,219,103,930,665,230,Double Cross Dance,Change [INT] Slots to [PSY],Navy Hypnotist,Reduces damage taken by 10%
230,Double Ironfist Fullbody,"A former Navy lieutenant now serving as a seaman recruit. He befriended the pirate Django at Mirrorball Island. He arrested Django later, but was demoted when he objected to his execution.",1,1,3,11,6,300,70,1066998,150,150,80,890,809,187,Double Hyper Straight,200 damage to 1 enemy,Groovy Seaman Recruit,STR type characters' ATK x 1.5
71,Miss Wednesday,"Agent for the criminal organization, ""Baroque Works"". Hunted Island Whales for food. Her partner is Mr. 9.",4,2,3,9,5,400,35,136167,22,10,74,190,127,216,Enchanting Vertigo Dance,"For 1 turn, reduces damage by 50%",Princess' Oath,RCV x 2 HP recovered after end of turn.
228,Escapee Morgan,"Former Navy captain and Helmeppo's father. He ruled over Shells Town with an iron fist, striking terror into its citizens, before he was defeated by Luffy and captured by his own men. He later escaped while being transported to Navy HQ. Whereabouts currently unknown.",1,2,3,17,5,200,70,711332,1427,699,27,1600,1000,35,Escapee Axe-Hand,Recover from Bind for 2 turns,Lust for Power,Boosts HP of Slasher-class characters by 1.5x
35,Axe-Hand Morgan,"Navy captain and father of Helmeppo. Nicknamed ""Axe-Hand Morgan"", he was effective dictator of Shells Town.",1,2,2,9,5,150,50,261406,133,100,5,1554,747,35,Execution Axe-Hand,5x character's ATK in STR damage to one enemy,Captain's Authority,Slasher-class characters' HP x 1.2
204,Mr. 3 Extra Special Candelabra,"Baroque Works officer agent. Wax-Wax Fruit user. When the wax from inside his body hardens over him, his skin becomes as hard as iron, but he's vulnerable to fire. His friend is Miss Goldenweek.",5,2,4,15,4,200,70,1066998,600,449,120,1394,818,176,Extra Special Candelabra,Delays all enemies' attacks for 1 turn,Sculptor,INT ATK to character reduced by 10%
36,Mohji & Richie,"Buggy Pirates first mate Mohji and his pet lion, Richie. Beast tamer Mohji fights alongside Richie who follows his commands. He burned down a pet shop in Orange Town. ",4,1,2,9,6,100,50,261406,150,135,10,1072,559,55,Fierce Bite,5x character's ATK in PSY damage to one enemy,Wild Animal Show,PSY type characters' ATK x 1.5
